,LINK_ID,HOUR,SPEED
501,4130020400,20,24.142857142857142
502,4130020400,21,24.142857142857142
503,4130020400,22,24.142857142857142
504,4130020400,23,24.142857142857142
505,4130020600,19,26.0
506,4130020700,9,11.0
507,4130020800,10,7.0
508,4130020800,11,31.0
509,4130020800,16,40.0
510,4130020800,19,7.0
511,4130020900,0,36.0
512,4130020900,1,36.0
513,4130020900,2,36.0
514,4130020900,3,36.0
515,4130020900,4,36.0
516,4130020900,5,36.0
517,4130020900,6,19.0
518,4130020900,7,11.666666666666666
519,4130020900,8,11.666666666666666
520,4130020900,9,12.333333333333334
521,4130020900,10,13.333333333333334
522,4130020900,11,14.666666666666666
523,4130020900,12,16.833333333333332
524,4130020900,13,17.0
525,4130020900,14,16.666666666666668
526,4130020900,15,15.666666666666666
527,4130020900,16,15.666666666666666
528,4130020900,17,15.666666666666666
529,4130020900,18,15.666666666666666
530,4130020900,19,20.666666666666668
531,4130020900,20,15.666666666666666
532,4130020900,21,15.666666666666666
533,4130020900,22,15.666666666666666
534,4130020900,23,15.666666666666666
535,4130021000,0,36.0
536,4130021000,1,36.0
537,4130021000,2,36.0
538,4130021000,3,36.0
539,4130021000,4,36.0
540,4130021000,5,36.0
541,4130021000,6,25.0
542,4130021000,7,19.75
543,4130021000,8,19.75
544,4130021000,9,19.75
545,4130021000,10,17.8
546,4130021000,11,19.75
547,4130021000,12,19.75
548,4130021000,13,19.75
549,4130021000,14,19.75
550,4130021000,15,19.75
551,4130021000,16,19.75
552,4130021000,17,19.75
553,4130021000,18,19.75
554,4130021000,19,19.75
555,4130021000,20,19.75
556,4130021000,21,19.75
557,4130021000,22,19.75
558,4130021000,23,19.75
559,4130021100,0,35.0
560,4130021100,1,35.0
561,4130021100,2,35.0
562,4130021100,3,35.0
563,4130021100,4,35.0
564,4130021100,5,35.0
565,4130021100,6,25.666666666666668
566,4130021100,7,21.5
567,4130021100,8,20.833333333333332
568,4130021100,9,20.5
569,4130021100,10,20.166666666666668
570,4130021100,11,19.833333333333332
571,4130021100,12,19.5
572,4130021100,13,22.8
573,4130021100,14,20.5
574,4130021100,15,20.833333333333332
575,4130021100,16,21.833333333333332
576,4130021100,17,22.166666666666668
577,4130021100,18,22.166666666666668
578,4130021100,19,22.166666666666668
579,4130021100,20,22.166666666666668
580,4130021100,21,22.166666666666668
581,4130021100,22,22.166666666666668
582,4130021100,23,22.166666666666668
583,4130021200,0,36.57142857142857
584,4130021200,1,36.57142857142857
585,4130021200,2,36.57142857142857
586,4130021200,3,36.57142857142857
587,4130021200,4,36.57142857142857
588,4130021200,5,36.57142857142857
589,4130021200,6,32.714285714285715
590,4130021200,7,31.428571428571427
591,4130021200,8,31.428571428571427
592,4130021200,9,31.428571428571427
593,4130021200,10,31.428571428571427
594,4130021200,11,31.714285714285715
595,4130021200,12,31.714285714285715
596,4130021200,13,33.333333333333336
597,4130021200,14,32.0
598,4130021200,15,32.142857142857146
599,4130021200,16,32.142857142857146
600,4130021200,17,32.142857142857146
601,4130021200,18,32.142857142857146
602,4130021200,19,32.142857142857146
603,4130021200,20,32.142857142857146
604,4130021200,21,32.142857142857146
605,4130021200,22,32.142857142857146
606,4130021200,23,32.142857142857146
607,4130021300,0,44.714285714285715
608,4130021300,1,44.714285714285715
609,4130021300,2,44.714285714285715
610,4130021300,3,44.714285714285715
611,4130021300,4,44.714285714285715
612,4130021300,5,44.714285714285715
613,4130021300,6,40.42857142857143
614,4130021300,7,38.57142857142857
615,4130021300,8,38.57142857142857
616,4130021300,9,38.57142857142857
617,4130021300,10,38.42857142857143
618,4130021300,11,38.285714285714285
619,4130021300,12,38.142857142857146
620,4130021300,13,40.5
621,4130021300,14,37.857142857142854
622,4130021300,15,37.714285714285715
623,4130021300,16,37.714285714285715
624,4130021300,17,37.714285714285715
625,4130021300,18,37.714285714285715
626,4130021300,19,37.714285714285715
627,4130021300,20,37.714285714285715
628,4130021300,21,37.714285714285715
629,4130021300,22,37.714285714285715
630,4130021300,23,37.714285714285715
631,4130021400,0,38.833333333333336
632,4130021400,1,38.833333333333336
633,4130021400,2,38.833333333333336
634,4130021400,3,38.833333333333336
635,4130021400,4,38.833333333333336
636,4130021400,5,38.833333333333336
637,4130021400,6,31.166666666666668
638,4130021400,7,28.166666666666668
639,4130021400,8,29.5
640,4130021400,9,31.5
641,4130021400,10,31.666666666666668
642,4130021400,11,28.333333333333332
643,4130021400,12,25.166666666666668
644,4130021400,13,26.0
645,4130021400,14,21.666666666666668
646,4130021400,15,21.666666666666668
647,4130021400,16,20.833333333333332
648,4130021400,17,20.0
649,4130021400,18,19.833333333333332
650,4130021400,19,20.666666666666668
